municipio,uf,ng
Nova Olinda,PB,6
Nova Olinda do Maranhão,MA,12
Nova Olinda do Norte,AM,22
Nova Pádua,RS,14
Nova Palma,RS,20
Nova Palmeira,PB,4
Nova Petrópolis,RS,14
Nova Ponte,MG,14
Nova Porteirinha,MG,8
Nova Prata,RS,16
Nova Prata do Iguaçu,PR,22
Nova Ramada,RS,22
Nova Redenção,BA,4
Nova Resende,MG,14
Nova Roma,GO,12
Nova Roma do Sul,RS,14
Nova Rosalândia,TO,24
Nova Russas,CE,8
Nova Santa Bárbara,PR,12
Nova Santa Helena,MT,18
Nova Santa Rita,PI,6
Nova Santa Rita,RS,14
Nova Santa Rosa,PR,24
Nova Serrana,MG,10
Nova Soure,BA,4
Nova Tebas,PR,16
Nova Timboteua,PA,14
Nova Trento,SC,20
Nova Ubiratã,MT,16
Nova União,RO,14
Nova União,MG,12
Nova Venécia,ES,12
Nova Veneza,SC,14
Nova Veneza,GO,16
Nova Viçosa,BA,6
Nova Xavantina,MT,14
Novais,SP,16
Novo Acordo,TO,20
Novo Airão,AM,28
Novo Alegre,TO,14
Novo Aripuanã,AM,22
Novo Barreiro,RS,16
Novo Brasil,GO,12
Novo Cabrais,RS,16
Novo Cruzeiro,MG,8
Novo Gama,GO,16
Novo Hamburgo,RS,14
Novo Horizonte,BA,6
Novo Horizonte,SP,14
Novo Horizonte,SC,20
Novo Horizonte do Norte,MT,12
Novo Horizonte do Oeste,RO,14
Novo Horizonte do Sul,MS,22
Novo Itacolomi,PR,18
Novo Jardim,TO,26
Novo Lino,AL,2
Novo Machado,RS,24
Novo Mundo,MT,26
Novo Oriente,CE,6
Novo Oriente de Minas,MG,6
Novo Oriente do Piauí,PI,16
Novo Planalto,GO,18
Novo Progresso,PA,30
Novo Repartimento,PA,16
Novo Santo Antônio,PI,12
Novo Santo Antônio,MT,14
Novo São Joaquim,MT,16
Novo Tiradentes,RS,16
Novo Triunfo,BA,2
Novo Xingu,RS,16
Novorizonte,MG,6
Nuporanga,SP,14
Óbidos,PA,16
Ocara,CE,4
Ocauçu,SP,18
Oeiras,PI,14
Oeiras do Pará,PA,22
Oiapoque,AP,6
Olaria,MG,28
Óleo,SP,14
Olho d’Água,PB,10
Olho d’Água das Cunhãs,MA,16
Olho d’Água das Flores,AL,4
Olho d’Água do Borges,RN,6
Olho d’Água do Casado,AL,4
Olho d’Água do Piauí,PI,12
Olho d’Água Grande,AL,2
Olhos-d’Água,MG,10
Olímpia,SP,14
Olímpio Noronha,MG,10
Olinda,PE,2
Olinda Nova do Maranhão,MA,14
Olindina,BA,4
Olivedos,PB,4
Oliveira,MG,12
Oliveira de Fátima,TO,24
Oliveira dos Brejinhos,BA,14
Oliveira Fortes,MG,20
Olivença,AL,4
Onça de Pitangui,MG,10
Onda Verde,SP,14
Oratórios,MG,10
Oriente,SP,18
Orindiúva,SP,18
Oriximiná,PA,20
Orizânia,MG,10
Orizona,GO,14
Orlândia,SP,14
Orleans,SC,14
Orobó,PE,2
Orocó,PE,4
Orós,CE,6
Ortigueira,PR,18
Osasco,SP,18
Oscar Bressane,SP,18
Osório,RS,14
Osvaldo Cruz,SP,14
Otacílio Costa,SC,14
Ourém,PA,12
Ouriçangas,BA,4
Ouricuri,PE,6
Ourilândia do Norte,PA,28
Ourinhos,SP,14
Ourizona,PR,20
Ouro,SC,16
Ouro Branco,RN,8
Ouro Branco,AL,4
Ouro Branco,MG,20
Ouro Fino,MG,14
Ouro Preto,MG,18
Ouro Preto do Oeste,RO,16
Ouro Velho,PB,6
Ouro Verde,SP,18
Ouro Verde,SC,18
Ouro Verde de Goiás,GO,16
Ouro Verde de Minas,MG,10
Ouro Verde do Oeste,PR,24
Ouroeste,SP,14
Ourolândia,BA,4
Ouvidor,GO,14
Pacaembu,SP,16
Pacajá,PA,12
Pacajus,CE,2
Pacaraima,RR,12
Pacatuba,CE,2
Pacatuba,SE,2
Paço do Lumiar,MA,6
Pacoti,CE,2
Pacujá,CE,8
Padre Bernardo,GO,16
Padre Carvalho,MG,6
Padre Marcos,PI,6
Padre Paraíso,MG,6
Paes Landim,PI,8
Pai Pedro,MG,10
Paial,SC,18
Paiçandu,PR,20
Paim Filho,RS,16
Paineiras,MG,12
Painel,SC,14
Pains,MG,14
Paiva,MG,20
Pajeú do Piauí,PI,8
Palestina,AL,4
Palestina,SP,16
Palestina de Goiás,GO,14
Palestina do Pará,PA,12
Palhano,CE,4
Palhoça,SC,18
Palma,MG,18
Palma Sola,SC,22
Palmácia,CE,2
Palmares,PE,2
Palmares do Sul,RS,10
Palmares Paulista,SP,16
Palmas,TO,26
Palmas,PR,16
Palmas de Monte Alto,BA,8
Palmeira,PR,12
Palmeira,SC,14
Palmeira das Missões,RS,20
Palmeira do Piauí,PI,14
Palmeira d’Oeste,SP,14
Palmeira dos Índios,AL,2
Palmeirais,PI,10
Palmeirândia,MA,10
Palmeirante,TO,20
Palmeiras,BA,4
Palmeiras de Goiás,GO,16
Palmeiras do Tocantins,TO,12
Palmeirina,PE,2
Palmeirópolis,TO,16
Palmelo,GO,12
Palminópolis,GO,16
Palmital,SP,16
Palmital,PR,18
Palmitinho,RS,22
Palmitos,SC,18
Palmópolis,MG,6
Palotina,PR,24
Panamá,GO,14
Panambi,RS,24
Pancas,ES,8
Panelas,PE,2
Panorama,SP,18
Pântano Grande,RS,18
Pão de Açúcar,AL,4
Papagaios,MG,10
Papanduva,SC,16
Paquetá,PI,14
Pará de Minas,MG,10
Paracambi,RJ,24
Paracatu,MG,14
Paracuru,CE,2
Paragominas,PA,16
Paraguaçu,MG,10
Paraguaçu Paulista,SP,16
Paraí,RS,18
Paraíba do Sul,RJ,26
Paraibano,MA,10
Paraibuna,SP,20
Paraipaba,CE,2
Paraíso,SP,16
Paraíso,SC,20
Paraíso das Águas,MS,24
Paraíso do Norte,PR,20
Paraíso do Sul,RS,16
Paraíso do Tocantins,TO,24
Paraisópolis,MG,16
Parambu,CE,4
Paramirim,BA,6
Paramoti,CE,4
Paraná,RN,6
Paranã,TO,16
Paranacity,PR,18
Paranaguá,PR,16
Paranaíba,MS,18
Paranaiguara,GO,16
Paranaíta,MT,22
Paranapanema,SP,16
Paranapoema,PR,18
Paranapuã,SP,14
Paranatama,PE,2
Paranatinga,MT,16
Paranavaí,PR,18
Paranhos,MS,22
Paraopeba,MG,10
Parapuã,SP,14
Parari,PB,4
Paratinga,BA,16
Paraty,RJ,16
Paraú,RN,8
Parauapebas,PA,18
Paraúna,GO,14
Parazinho,RN,4
Pardinho,SP,16
Pareci Novo,RS,14
Parecis,RO,14
Parelhas,RN,6
Pariconha,AL,2
Parintins,AM,20
Paripiranga,BA,2
Paripueira,AL,2
Pariquera-Açu,SP,14
Parisi,SP,14
Parnaguá,PI,12
Parnaíba,PI,4
Parnamirim,RN,2
Parnamirim,PE,6
Parnarama,MA,10
Parobé,RS,16
Passa e Fica,RN,2
Passa Quatro,MG,16
Passa Sete,RS,16
Passa Tempo,MG,14
Passa Vinte,MG,30
Passabém,MG,16
Passagem,RN,2
Passagem,PB,8
Passagem Franca,MA,10
Passagem Franca do Piauí,PI,12
Passira,PE,2
Passo de Camaragibe,AL,2
Passo de Torres,SC,14
Passo do Sobrado,RS,16
Passo Fundo,RS,18
Passos,MG,16
Passos Maia,SC,18
Pastos Bons,MA,10
Patis,MG,8
Pato Bragado,PR,24
Pato Branco,PR,20
Patos,PB,12
Patos de Minas,MG,14
Patos do Piauí,PI,8
Patrocínio,MG,14
Patrocínio do Muriaé,MG,14
Patrocínio Paulista,SP,16
Patu,RN,6
Paty do Alferes,RJ,22
Pau Brasil,BA,4
Pau D’Arco,PA,20
Pau D’Arco,TO,22
Pau D’Arco do Piauí,PI,14
Pau dos Ferros,RN,6
Paudalho,PE,2
Pauini,AM,16
Paula Cândido,MG,14
Paula Freitas,PR,16
Pauliceia,SP,16
Paulínia,SP,18
Paulino Neves,MA,6
Paulista,PB,10
Paulista,PE,2
Paulistana,PI,6
Paulistânia,SP,14
Paulistas,MG,14
Paulo Afonso,BA,4
Paulo Bento,RS,16
Paulo de Faria,SP,18
Paulo Frontin,PR,16
Paulo Jacinto,AL,2
Paulo Lopes,SC,16
Paulo Ramos,MA,14
Pavão,MG,8
Paverama,RS,16
Pavussu,PI,6
Pé de Serra,BA,4
Peabiru,PR,20
Peçanha,MG,14
Pederneiras,SP,12
Pedra,PE,4
Pedra Azul,MG,8
Pedra Bela,SP,14
Pedra Bonita,MG,10
Pedra Branca,CE,4
Pedra Branca,PB,8
Pedra Branca do Amapari,AP,10
Pedra do Anta,MG,10
Pedra do Indaiá,MG,14
Pedra Dourada,MG,12
Pedra Grande,RN,2
Pedra Lavrada,PB,4
Pedra Mole,SE,2
Pedra Preta,RN,4
Pedra Preta,MT,18
Pedralva,MG,10
Pedranópolis,SP,14
Pedrão,BA,4
Pedras Altas,RS,16
Pedras de Fogo,PB,2
Pedras de Maria da Cruz,MG,10
Pedras Grandes,SC,16
Pedregulho,SP,14
Pedreira,SP,14
Pedreiras,MA,12
Pedrinhas,SE,2
Pedrinhas Paulista,SP,14
Pedrinópolis,MG,12
Pedro Afonso,TO,20
Pedro Alexandre,BA,4
Pedro Avelino,RN,6
Pedro Canário,ES,4
Pedro de Toledo,SP,18
Pedro do Rosário,MA,12
Pedro Gomes,MS,24
Pedro II,PI,12
Pedro Laurentino,PI,8
Pedro Leopoldo,MG,10
Pedro Osório,RS,16
Pedro Régis,PB,2
Pedro Teixeira,MG,30
Pedro Velho,RN,2
Peixe,TO,22
Peixe-Boi,PA,12
Peixoto de Azevedo,MT,22
Pejuçara,RS,24
Pelotas,RS,14
Penaforte,CE,6
Penalva,MA,14
Penápolis,SP,10
Pendências,RN,8
Penedo,AL,2
Penha,SC,16
Pentecoste,CE,4
Pequeri,MG,24
Pequi,MG,10
Pequizeiro,TO,24
Perdigão,MG,10
Perdizes,MG,16
Perdões,MG,12
Pereira Barreto,SP,18
Pereiras,SP,16
Pereiro,CE,6
Peri Mirim,MA,8
Periquito,MG,12
Peritiba,SC,16
Peritoró,MA,14
Perobal,PR,22
Pérola,PR,24
Pérola d’Oeste,PR,24
Perolândia,GO,18
Peruíbe,SP,14
Pescador,MG,10
Pescaria Brava,SC,14
Pesqueira,PE,4
Petrolândia,PE,6
Petrolândia,SC,14
Petrolina,PE,6
Petrolina de Goiás,GO,18
Petrópolis,RJ,20
Piaçabuçu,AL,2
Piacatu,SP,12
Piancó,PB,8
Piatã,BA,6
Piau,MG,28
Picada Café,RS,14
Piçarra,PA,18
Picos,PI,14
Picuí,PB,4
Piedade,SP,18
Piedade de Caratinga,MG,8
Piedade de Ponte Nova,MG,12
Piedade do Rio Grande,MG,16
Piedade dos Gerais,MG,14
Piên,PR,14
Pilão Arcado,BA,10
Pilar,PB,2
Pilar,AL,2
Pilar de Goiás,GO,16
Pilar do Sul,SP,20
Pilões,RN,6
Pilões,PB,2
Pilõezinhos,PB,2
Pimenta,MG,14
Pimenta Bueno,RO,14
Pimenteiras,PI,14
Pimenteiras do Oeste,RO,16
Pindaí,BA,6
Pindamonhangaba,SP,18
Pindaré-Mirim,MA,14
Pindoba,AL,2
Pindobaçu,BA,4
Pindorama,SP,16
Pindorama do Tocantins,TO,24
Pindoretama,CE,2
Pingo-d’Água,MG,12
Pinhais,PR,14
Pinhal,RS,16
Pinhal da Serra,RS,12
Pinhal de São Bento,PR,22
Pinhal Grande,RS,20
Pinhalão,PR,14
Pinhalzinho,SP,14
Pinhalzinho,SC,20
Pinhão,SE,2
Pinhão,PR,18
Pinheiral,RJ,28
Pinheirinho do Vale,RS,22
Pinheiro,MA,10
Pinheiro Machado,RS,16
Pinheiro Preto,SC,16
Pinheiros,ES,6
Pintadas,BA,4
Pinto Bandeira,RS,14
Pintópolis,MG,12
Pio IX,PI,8
Pio XII,MA,14
Piquerobi,SP,16
Piquet Carneiro,CE,2
Piquete,SP,16
Piracaia,SP,18
Piracanjuba,GO,14
Piracema,MG,14
Piracicaba,SP,18
Piracuruca,PI,14
Piraí,RJ,28
Piraí do Norte,BA,2
Piraí do Sul,PR,14
Piraju,SP,14
Pirajuba,MG,16
Pirajuí,SP,12
Pirambu,SE,2
Piranga,MG,18
Pirangi,SP,16
Piranguçu,MG,14
Piranguinho,MG,12
Piranhas,AL,4
Piranhas,GO,14
Pirapemas,MA,14
Pirapetinga,MG,18
Pirapó,RS,26
Pirapora,MG,12
Pirapora do Bom Jesus,SP,18
Pirapozinho,SP,16
Piraquara,PR,16
Piraquê,TO,16
Pirassununga,SP,16
Piratini,RS,16
Piratininga,SP,14
Piratuba,SC,16
Piraúba,MG,16
Pirenópolis,GO,18
Pires do Rio,GO,14
Pires Ferreira,CE,6
Piripá,BA,4
Piripiri,PI,16
Piritiba,BA,4
Pirpirituba,PB,2
Pitanga,PR,18
Pitangueiras,SP,14
Pitangueiras,PR,14
Pitangui,MG,10
Pitimbu,PB,2
Pium,TO,22
Piúma,ES,8
Piumhi,MG,12
Placas,PA,16
Plácido de Castro,AC,14
Planaltina,GO,14
Planaltina do Paraná,PR,18
Planaltino,BA,4
Planalto,BA,4
Planalto,SP,10
Planalto,PR,24
Planalto,RS,18
Planalto Alegre,SC,18
Planalto da Serra,MT,14
Planura,MG,16
Platina,SP,16
Poá,SP,20
Poção,PE,4
Poção de Pedras,MA,12
Pocinhos,PB,4
Poço Branco,RN,2
Poço Dantas,PB,4
Poço das Antas,RS,16
Poço das Trincheiras,AL,4
Poço de José de Moura,PB,4
Poço Fundo,MG,12
Poço Redondo,SE,4
Poço Verde,SE,4
Poções,BA,4
Poconé,MT,20
Poços de Caldas,MG,14
Pocrane,MG,8
Pojuca,BA,2
Poloni,SP,12
Pombal,PB,10
Pombos,PE,2
Pomerode,SC,18
Pompeia,SP,18
Pompéu,MG,10
Pongaí,SP,12
Ponta de Pedras,PA,22
Ponta Grossa,PR,12
Ponta Porã,MS,26
Pontal,SP,14
Pontal do Araguaia,MT,16
Pontal do Paraná,PR,16
Pontalina,GO,16
Pontalinda,SP,12
Pontão,RS,18
Ponte Alta,SC,16
Ponte Alta do Bom Jesus,TO,24
Ponte Alta do Norte,SC,18
Ponte Alta do Tocantins,TO,24
Ponte Branca,MT,20
Ponte Nova,MG,14
Ponte Preta,RS,16
Ponte Serrada,SC,18
Pontes e Lacerda,MT,20
Pontes Gestal,SP,14
Ponto Belo,ES,6
Ponto Chique,MG,12
Ponto dos Volantes,MG,6
Ponto Novo,BA,4
Populina,SP,14
Poranga,CE,6
Porangaba,SP,16
Porangatu,GO,20
Porciúncula,RJ,14
Porecatu,PR,16
Portalegre,RN,6
Portão,RS,14
Porteirão,GO,16
Porteiras,CE,6
Porteirinha,MG,10
Portel,PA,16
Portelândia,GO,16
Porto,PI,22
Porto Acre,AC,14
Porto Alegre,RS,14
Porto Alegre do Norte,MT,18
Porto Alegre do Piauí,PI,8
Porto Alegre do Tocantins,TO,26
Porto Amazonas,PR,12
Porto Barreiro,PR,22
Porto Belo,SC,18
Porto Calvo,AL,2
Porto da Folha,SE,4
Porto de Moz,PA,10
Porto de Pedras,AL,2
Porto do Mangue,RN,4
Porto dos Gaúchos,MT,18
Porto Esperidião,MT,16
Porto Estrela,MT,16
Porto Feliz,SP,16
Porto Ferreira,SP,16
Porto Firme,MG,14
Porto Franco,MA,12
Porto Grande,AP,12
Porto Lucena,RS,24
Porto Mauá,RS,24
Porto Murtinho,MS,26
Porto Nacional,TO,26
Porto Real,RJ,28
Porto Real do Colégio,AL,2
Porto Rico,PR,20
Porto Rico do Maranhão,MA,2
Porto Seguro,BA,6
Porto União,SC,16
Porto Velho,RO,18
Porto Vera Cruz,RS,24
Porto Vitória,PR,16
Porto Walter,AC,12
Porto Xavier,RS,24
Posse,GO,18
Poté,MG,8
Potengi,CE,4
Potim,SP,18
Potiraguá,BA,6
Potirendaba,SP,14
Potiretama,CE,6
Pouso Alegre,MG,14
Pouso Alto,MG,14
Pouso Novo,RS,18
Pouso Redondo,SC,16
Poxoréu,MT,20
Pracinha,SP,16
Pracuúba,AP,6
Prado,BA,6
Prado Ferreira,PR,14
Pradópolis,SP,16
Prados,MG,16
Praia Grande,SP,18
Praia Grande,SC,14
Praia Norte,TO,12
Prainha,PA,10
Pranchita,PR,22
Prata,PB,6
Prata,MG,20
Prata do Piauí,PI,12
Pratânia,SP,14
Pratápolis,MG,14
Pratinha,MG,14
Presidente Alves,SP,12
Presidente Bernardes,MG,16
Presidente Bernardes,SP,18
Presidente Castello Branco,SC,18
Presidente Castelo Branco,PR,20
Presidente Dutra,MA,10
Presidente Dutra,BA,6
Presidente Epitácio,SP,22
Presidente Figueiredo,AM,20
Presidente Getúlio,SC,16
Presidente Jânio Quadros,BA,4
Presidente Juscelino,MA,12
Presidente Juscelino,MG,10
Presidente Kennedy,TO,22
Presidente Kennedy,ES,10
Presidente Kubitschek,MG,12
Presidente Lucena,RS,14
Presidente Médici,RO,16
Presidente Médici,MA,8
Presidente Nereu,SC,18
Presidente Olegário,MG,14
Presidente Prudente,SP,14
Presidente Sarney,MA,10
Presidente Tancredo Neves,BA,2
Presidente Vargas,MA,12
Presidente Venceslau,SP,18
Primavera,PA,8
Primavera,PE,2
Primavera de Rondônia,RO,12
Primavera do Leste,MT,18
Primeira Cruz,MA,6
Primeiro de Maio,PR,16
Princesa,SC,20
Princesa Isabel,PB,6
Professor Jamil,GO,14
Progresso,RS,20
Promissão,SP,10
Propriá,SE,2
Protásio Alves,RS,14
Prudente de Morais,MG,10
Prudentópolis,PR,16
Pugmil,TO,24
Pureza,RN,2
Putinga,RS,18
Puxinanã,PB,2
Quadra,SP,16
Quaraí,RS,24
Quartel Geral,MG,14
Quarto Centenário,PR,20
Quatá,SP,16
Quatiguá,PR,12
Quatipuru,PA,6
Quatis,RJ,30
Quatro Barras,PR,16
Quatro Irmãos,RS,18
Quatro Pontes,PR,24
Quebrângulo,AL,2
Quedas do Iguaçu,PR,22
Queimada Nova,PI,4
Queimadas,PB,2
Queimadas,BA,4
Queimados,RJ,20
Queiroz,SP,14
Queluz,SP,20
Queluzito,MG,18
Querência,MT,22
Querência do Norte,PR,24
Quevedos,RS,22
Quijingue,BA,4
Quilombo,SC,20
Quinta do Sol,PR,20
Quintana,SP,16
Quinze de Novembro,RS,20
Quipapá,PE,2
Quirinópolis,GO,16
Quissamã,RJ,10
Quitandinha,PR,14
Quiterianópolis,CE,4
Quixaba,PB,10
Quixaba,PE,8
Quixabeira,BA,2
Quixadá,CE,4
Quixelô,CE,6
Quixeramobim,CE,4
Quixeré,CE,4
Rafael Fernandes,RN,6
Rafael Godeiro,RN,6
Rafael Jambeiro,BA,4
Rafard,SP,16
Ramilândia,PR,22
Rancharia,SP,16
Rancho Alegre,PR,12
Rancho Alegre d’Oeste,PR,18
Rancho Queimado,SC,18
Raposa,MA,6
Raposos,MG,14
Raul Soares,MG,12
Realeza,PR,24
Rebouças,PR,14
Recife,PE,2
Recreio,MG,18
Recursolândia,TO,22
Redenção,PA,22
Redenção,CE,2
Redenção da Serra,SP,20
Redenção do Gurgueia,PI,12
Redentora,RS,20
Reduto,MG,12
Regeneração,PI,10
Regente Feijó,SP,16
Reginópolis,SP,12
Registro,SP,18
Relvado,RS,18
Remanso,BA,6
Remígio,PB,2
Renascença,PR,20
Reriutaba,CE,8
Resende,RJ,30
Resende Costa,MG,14
Reserva,PR,16
Reserva do Cabaçal,MT,20
Reserva do Iguaçu,PR,18
Resplendor,MG,8
Ressaquinha,MG,20
Restinga,SP,14
Restinga Seca,RS,18
Retirolândia,BA,2
Riachão,MA,16
Riachão,PB,2
Riachão das Neves,BA,14
Riachão do Bacamarte,PB,2
Riachão do Dantas,SE,4
Riachão do Jacuípe,BA,4
Riachão do Poço,PB,2
Riachinho,TO,14
Riachinho,MG,12
Riacho da Cruz,RN,6
Riacho das Almas,PE,2
Riacho de Santana,RN,6
Riacho de Santana,BA,10
Riacho de Santo Antônio,PB,4
Riacho dos Cavalos,PB,8
Riacho dos Machados,MG,8
Riacho Frio,PI,12
Riachuelo,RN,2
Riachuelo,SE,2
Rialma,GO,22
Rianápolis,GO,22
Ribamar Fiquene,MA,14
Ribas do Rio Pardo,MS,28
Ribeira,SP,16
Ribeira do Amparo,BA,4
Ribeira do Piauí,PI,10
Ribeira do Pombal,BA,4
Ribeirão,PE,2
Ribeirão Bonito,SP,16
Ribeirão Branco,SP,18
Ribeirão Cascalheira,MT,16
Ribeirão Claro,PR,14
Ribeirão Corrente,SP,14
Ribeirão das Neves,MG,12
Ribeirão do Largo,BA,6
Ribeirão do Pinhal,PR,14
Ribeirão do Sul,SP,14
Ribeirão dos Índios,SP,16
Ribeirão Grande,SP,20
Ribeirão Pires,SP,20
Ribeirão Preto,SP,16
Ribeirão Vermelho,MG,12
Ribeirãozinho,MT,18
Ribeiro Gonçalves,PI,12
Ribeirópolis,SE,4
Rifaina,SP,14
Rincão,SP,16
Rinópolis,SP,14
Rio Acima,MG,16
Rio Azul,PR,14
Rio Bananal,ES,8
Rio Bom,PR,18
Rio Bonito,RJ,20
Rio Bonito do Iguaçu,PR,22
Rio Branco,AC,14
Rio Branco,MT,20
Rio Branco do Ivaí,PR,16
Rio Branco do Sul,PR,14
Rio Brilhante,MS,26
Rio Casca,MG,14
Rio Claro,RJ,24
Rio Claro,SP,16
Rio Crespo,RO,14
Rio da Conceição,TO,26
Rio das Antas,SC,18
Rio das Flores,RJ,30
Rio das Ostras,RJ,16
Rio das Pedras,SP,18
Rio de Contas,BA,6
Rio de Janeiro,RJ,20
Rio do Antônio,BA,6
Rio do Campo,SC,16
Rio do Fogo,RN,2
Rio do Oeste,SC,16
Rio do Pires,BA,6
Rio do Prado,MG,6
Rio do Sul,SC,16
Rio Doce,MG,16
Rio dos Bois,TO,22
Rio dos Cedros,SC,18
Rio dos Índios,RS,18
Rio Espera,MG,18
Rio Formoso,PE,2
Rio Fortuna,SC,16
Rio Grande,RS,12
Rio Grande da Serra,SP,20
Rio Grande do Piauí,PI,6
Rio Largo,AL,2
Rio Manso,MG,12
Rio Maria,PA,20
Rio Negrinho,SC,14
Rio Negro,PR,14
Rio Negro,MS,20
Rio Novo,MG,22
Rio Novo do Sul,ES,10
Rio Paranaíba,MG,12
Rio Pardo,RS,18
Rio Pardo de Minas,MG,8
Rio Piracicaba,MG,18
Rio Pomba,MG,18
Rio Preto,MG,30
Rio Preto da Eva,AM,26
Rio Quente,GO,16
Rio Real,BA,2
Rio Rufno,SC,12
Rio Sono,TO,20
Rio Tinto,PB,2
Rio Verde,GO,18
Rio Verde de Mato Grosso,MS,24
Rio Vermelho,MG,14
Riolândia,SP,16
Riozinho,RS,14
Riqueza,SC,20
Ritápolis,MG,14
Riversul,SP,12
Roca Sales,RS,18
Rochedo,MS,20
Rochedo de Minas,MG,22
Rodeio,SC,18
Rodeio Bonito,RS,16
Rodeiro,MG,14
Rodelas,BA,6
Rodolfo Fernandes,RN,6
Rodrigues Alves,AC,14
Rolador,RS,26
Rolândia,PR,16
Rolante,RS,14
Rolim de Moura,RO,14
Romaria,MG,12
Romelândia,SC,20
Roncador,PR,20
Ronda Alta,RS,16
Rondinha,RS,16
Rondolândia,MT,14
Rondon,PR,20
Rondon do Pará,PA,14
Rondonópolis,MT,20
Roque Gonzales,RS,26
Rorainópolis,RR,20
Rosana,SP,22
Rosário,MA,14
Rosário da Limeira,MG,12
Rosário do Catete,SE,2
Rosário do Ivaí,PR,18
Rosário do Sul,RS,22
Rosário Oeste,MT,18
Roseira,SP,18
Roteiro,AL,2
Rubelita,MG,8
Rubiácea,SP,14
Rubiataba,GO,18
Rubim,MG,8
Rubineia,SP,18
Rurópolis,PA,18
Russas,CE,4
Ruy Barbosa,RN,2
Ruy Barbosa,BA,4
Sabará,MG,14
Sabáudia,PR,16
Sabino,SP,12
Sabinópolis,MG,14
Saboeiro,CE,4
Sacramento,MG,18
Sagrada Família,RS,16
Sagres,SP,16
Sairé,PE,2
Saldanha Marinho,RS,16
Sales,SP,12
Sales Oliveira,SP,14
Salesópolis,SP,20
Salete,SC,16
Salgadinho,PB,6
Salgadinho,PE,2
Salgado,SE,2
Salgado de São Félix,PB,2
Salgado Filho,PR,22
Salgueiro,PE,6
Salinas,MG,6
Salinas da Margarida,BA,4
Salinópolis,PA,6
Salitre,CE,6
Salmourão,SP,14
Saloá,PE,4
Saltinho,SP,18
Saltinho,SC,18
Salto,SP,16
Salto da Divisa,MG,6
Salto de Pirapora,SP,18
Salto do Céu,MT,20
Salto do Itararé,PR,12
Salto do Jacuí,RS,22
Salto do Lontra,PR,20
Salto Grande,SP,14
Salto Veloso,SC,18
Salvador,BA,4
Salvador das Missões,RS,26
Salvador do Sul,RS,14
Salvaterra,PA,12
Sambaíba,MA,10
Sampaio,TO,14
Sananduva,RS,16
Sanclerlândia,GO,14
Sandolândia,TO,16
Sandovalina,SP,18
Sangão,SC,14
Sanharó,PE,4
Santa Adélia,SP,18
Santa Albertina,SP,14
Santa Amélia,PR,14
Santa Bárbara,BA,2
Santa Bárbara,MG,18
Santa Bárbara de Goiás,GO,14
Santa Bárbara do Leste,MG,8
Santa Bárbara do Monte Verde,MG,30
Santa Bárbara do Pará,PA,20
Santa Bárbara do Sul,RS,20
Santa Bárbara do Tugúrio,MG,20
Santa Bárbara d’Oeste,SP,16
Santa Branca,SP,20
Santa Brígida,BA,4
Santa Carmem,MT,16
Santa Cecília,PB,2
Santa Cecília,SC,18
Santa Cecília do Pavão,PR,12
Santa Cecília do Sul,RS,16
Santa Clara do Sul,RS,20
Santa Clara d’Oeste,SP,16
Santa Cruz,RN,4
Santa Cruz,PB,6
Santa Cruz,PE,6
Santa Cruz Cabrália,BA,6
Santa Cruz da Baixa Verde,PE,6
Santa Cruz da Conceição,SP,16
Santa Cruz da Esperança,SP,18
Santa Cruz da Vitória,BA,4
Santa Cruz das Palmeiras,SP,14
Santa Cruz de Goiás,GO,14
Santa Cruz de Minas,MG,14
Santa Cruz de Monte Castelo,PR,22
Santa Cruz de Salinas,MG,6
Santa Cruz do Arari,PA,14
Santa Cruz do Capibaribe,PE,4
Santa Cruz do Escalvado,MG,14
Santa Cruz do Piauí,PI,14
Santa Cruz do Rio Pardo,SP,14
Santa Cruz do Sul,RS,18
Santa Cruz do Xingu,MT,22
Santa Cruz dos Milagres,PI,14
Santa Efgênia de Minas,MG,16
Santa Ernestina,SP,16
Santa Fé,PR,18
Santa Fé de Goiás,GO,12
Santa Fé de Minas,MG,12
Santa Fé do Araguaia,TO,16
Santa Fé do Sul,SP,16
Santa Filomena,PI,20
Santa Filomena,PE,4
Santa Filomena do Maranhão,MA,8
Santa Gertrudes,SP,16
Santa Helena,MA,10
Santa Helena,PB,4
Santa Helena,PR,24
Santa Helena,SC,22
Santa Helena de Goiás,GO,14
Santa Helena de Minas,MG,6
Santa Inês,MA,12
Santa Inês,PB,8
Santa Inês,BA,4
Santa Inês,PR,16
Santa Isabel,SP,22
Santa Isabel,GO,20
Santa Isabel do Ivaí,PR,22
Santa Isabel do Rio Negro,AM,20
Santa Izabel do Oeste,PR,22
Santa Izabel do Pará,PA,22
Santa Juliana,MG,14
Santa Leopoldina,ES,8
Santa Lúcia,SP,16
Santa Lúcia,PR,22
Santa Luz,PI,12
Santa Luzia,MA,12
Santa Luzia,PB,8
Santa Luzia,BA,4
Santa Luzia,MG,12
Santa Luzia do Itanhy,SE,2
Santa Luzia do Norte,AL,2
Santa Luzia do Pará,PA,14
Santa Luzia do Paruá,MA,10
Santa Luzia d’Oeste,RO,16
Santa Margarida,MG,10
Santa Margarida do Sul,RS,18
Santa Maria,RN,2
Santa Maria,RS,22
Santa Maria da Boa Vista,PE,4
Santa Maria da Serra,SP,14
Santa Maria da Vitória,BA,10
